1;AD;209;02;01;Coopération en matière de  gouvernance;1;AD;110;01;16;Coopération technique;7.241215053013889
1;AD;209;02;02;Coopération hors gouvernance;1;AD;110;01;16;Coopération technique;6.691051191583923
1;CB;224;02;04;Dispositifs partenariaux;1;SB;;;;Sécurités;5.148073201706645
1;CB;224;02;05;Projets fédérateurs;1;TA;181;11;03;Autres;5.652729961751384
1;CB;224;02;06;Actions cinéma;1;AC;149;21;04;Actions internationales;5.2212134537796375
1;CB;224;02;07;Actions de formation et de documentation - CPER;1;JA;107;04;;Soutien et formation;8.423607026981315
1;CB;224;02;08;Actions de formation et de documentation - hors CPER;1;JA;107;04;;Soutien et formation;9.443230420602331
1;CB;224;02;09;Programmes de sensibilisation;1;DA;146;12;97;Programmes civils;6.088731977491186
1;CB;224;02;10;Soutien aux pratiques amateurs (hors CPER);1;CB;224;02;24;Soutien aux pratiques amateurs;6.532091032349025
1;CB;224;02;11;Actions en faveur des publics spécifiques;1;DB;134;03;;Actions en faveur des entreprises industrielles;6.003341087596163
1;CB;224;02;12;Pratiques innovantes et numérisation (CPER);1;RA;150;14;02;Construction et 1er équipement (CPER);8.268023211757697
1;CB;224;02;13;Pratiques innovantes et numérisation (hors CPER);1;RA;150;14;03;Construction et 1er équipement (hors CPER);8.268023211757697
1;CB;224;02;14;Diffusion de la diversité culturelle;2;XJ;623;01;;Diffusion légale;7.711335690203422
1;CB;224;02;15;Actions territoriales (CPER);1;AC;149;21;04;Actions internationales;6.832325813075129
1;CB;224;02;16;Actions territoriales (hors CPER);1;DB;134;03;12;Développement industriel (hors CPER);7.421555594017189
1;DA;146;07;32;Communiquer - SYRACUSE III;1;DA;146;07;36;Communiquer - CONTACT;7.675696442092359
1;DA;146;07;33;Communiquer - Moyen d'élongation pour les communications HF interarmées et OTAN en réseau (MELCHIOR);1;DA;146;07;36;Communiquer - CONTACT;15.166702228462695
1;DB;305;02;01;Aide au commerce extérieur (hors CPER);1;RA;150;14;03;Construction et 1er équipement (hors CPER);8.245765151822413
1;EC;143;03;02;Aides exceptionnelles - fonds social lycéen;1;EC;230;04;02;Bourses et fonds sociaux;8.436522586235878
1;EC;143;05;01;Inspection de l'enseignement agricole - Hors personnel - Actions nationales;1;EC;143;05;01;Inspection de l'enseignement agricole;8.162055605487227
1;EC;143;05;04;Inspection de l'enseignement agricole - Hors personnel - Actions locales;1;EC;143;05;01;Inspection de l'enseignement agricole;8.544520137705861
